,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
303,1.0,44,799,755,600.0,1,-17.916666666666657,29,0
304,0.0,-48,792,840,600.0,0,-151.0277777777778,29,0
305,1.0,70,799,729,600.0,0,-18.47222222222221,29,0
306,0.0,50,789,739,600.0,1,-140.47222222222223,29,0
307,1.0,64,796,732,600.0,0,-44.99999999999997,29,0
308,0.0,-6,788,794,600.0,1,-199.00000000000003,30,1
309,0.0,-171,783,954,180.0,1,-79.30555555555554,30,1
310,0.0,-69,776,845,300.0,1,-38.99999999999999,31,2
311,1.0,28,784,756,600.0,0,-328.6944444444445,31,2
312,1.0,38,791,753,600.0,0,-173.9722222222222,5,0
313,1.0,63,798,735,600.0,0,-84.91666666666664,5,0
314,1.0,-37,807,844,600.0,1,-109.63888888888889,6,1
315,0.0,68,797,729,600.0,0,-233.91666666666666,6,1
316,1.0,-2,805,807,600.0,0,-260.0833333333333,6,1
317,0.0,-34,797,831,600.0,1,-211.91666666666663,6,1
318,0.0,-64,790,854,600.0,1,-205.74999999999997,6,1
319,0.0,10,781,771,600.0,0,-165.8611111111111,7,2
320,1.0,52,788,736,600.0,1,-24.277777777777757,7,2
321,0.0,-25,780,805,600.0,1,-307.1388888888889,7,2
322,0.0,-18,772,790,600.0,1,-118.2222222222222,7,2
323,1.0,16,780,764,600.0,0,-177.25,8,3
324,1.0,155,785,630,600.0,0,-150.19444444444446,8,3
325,1.0,-1,793,794,600.0,0,-203.1111111111111,10,5
326,0.0,12,784,772,600.0,1,-214.97222222222217,10,5
327,0.5,8,784,776,600.0,0,-229.02777777777774,10,5
328,1.0,102,790,688,600.0,1,-164.58333333333331,10,5
329,0.5,21,789,768,600.0,0,-263.6388888888889,10,5
330,0.0,-47,782,829,600.0,1,-301.99999999999994,11,6
331,0.0,-107,776,883,600.0,1,-200.88888888888889,11,6
332,1.0,49,783,734,600.0,1,-274.4722222222222,11,6
333,1.0,36,791,755,600.0,0,-171.66666666666663,11,6
334,1.0,-16,800,816,600.0,0,-137.63888888888889,12,0
335,1.0,57,807,750,600.0,1,-86.38888888888887,12,0
336,0.0,-53,800,853,600.0,0,-317.9444444444444,12,0
337,1.0,-112,811,923,600.0,0,-114.1111111111111,12,0
338,1.0,49,818,769,600.0,1,-136.08333333333331,12,0
339,1.0,136,823,687,600.0,0,-161.94444444444443,12,0
