,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
545,2017-07-24,1.0,833,869,600,19355.277777777777,30,0,8,0,24,11,7,1,0,460,390,19119.166666666668,30,15.333333333333334,13.0,47.80000000000001,65.20000000000005,65.20000000000005,47.80000000000001,869,833,8.0,861.0,825.0,36
546,2017-07-24,0.0,897,861,600,19582.777777777777,29,0,8,0,24,13,14,1,0,330,280,19413.333333333332,30,11.379310344827585,9.333333333333334,35.30000000000001,49.30000000000001,49.30000000000001,35.30000000000001,861,897,-8.0,869.0,905.0,-36
547,2017-07-25,1.0,888,870,600,9129.722222222223,26,0,2,1,25,10,9,0,1,360,280,8951.944444444445,26,13.846153846153847,10.76923076923077,38.80000000000001,43.0,43.0,38.80000000000001,870,888,9.0,861.0,879.0,-18
548,2017-07-25,1.0,880,938,600,10357.5,39,1,7,1,25,15,6,1,1,570,550,10046.388888888889,39,14.615384615384615,14.102564102564102,64.5,82.0,64.5,82.0,880,938,10.0,870.0,928.0,-58
549,2017-07-25,1.0,845,887,600,17528.88888888889,29,0,7,1,25,18,14,0,1,240,230,17398.333333333336,29,8.275862068965518,7.931034482758621,35.5,25.400000000000034,25.400000000000034,35.5,887,845,7.0,880.0,838.0,42
550,2017-07-25,0.0,878,865,600,17810.0,36,1,7,1,25,16,5,1,1,450,490,17548.88888888889,36,12.5,13.61111111111111,47.400000000000034,43.0,47.400000000000034,43.0,878,865,-9.0,887.0,874.0,13
551,2017-07-25,0.5,1013,881,300,18275.833333333332,68,0,1,1,25,0,7,-1,1,290,290,18114.722222222223,69,4.264705882352941,4.202898550724638,33.19999999999999,18.400000000000006,18.400000000000006,33.19999999999999,881,1013,3.0,878.0,1010.0,-132
552,2017-07-25,1.0,831,888,600,20914.444444444445,15,0,7,1,25,8,6,1,1,160,160,20825.555555555555,16,10.666666666666666,10.0,27.5,31.800000000000068,31.800000000000068,27.5,888,831,7.0,881.0,824.0,57
553,2017-07-26,1.0,897,919,600,10875.833333333334,46,1,6,2,26,12,0,1,-1,300,600,10625.833333333334,45,6.521739130434782,13.333333333333334,33.799999999999955,72.69999999999999,33.799999999999955,72.69999999999999,897,919,9.0,888.0,910.0,-22
554,2017-07-26,0.0,891,993,600,22429.722222222223,14,1,8,2,26,0,0,-1,-1,100,140,22363.055555555555,14,7.142857142857143,10.0,23.700000000000045,23.799999999999955,23.700000000000045,23.799999999999955,891,993,-6.0,897.0,999.0,-102
555,2017-07-27,0.0,883,910,600,12432.5,24,1,8,3,27,10,11,0,1,220,170,12324.166666666666,24,9.166666666666666,7.083333333333333,36.099999999999966,22.299999999999955,36.099999999999966,22.299999999999955,883,910,-8.0,891.0,918.0,-27
556,2017-07-27,1.0,864,891,600,18973.333333333332,38,0,7,3,27,10,11,1,0,490,530,18690.0,39,12.894736842105264,13.58974358974359,50.69999999999999,35.80000000000001,35.80000000000001,50.69999999999999,891,864,8.0,883.0,856.0,27
557,2017-07-27,1.0,860,899,600,19559.444444444445,6,0,2,3,27,0,0,-1,-1,10,50,19542.777777777777,6,1.6666666666666667,8.333333333333334,14.200000000000045,3.7999999999999545,3.7999999999999545,14.200000000000045,899,860,8.0,891.0,852.0,39
558,2017-07-27,1.0,906,828,600,19836.11111111111,34,1,6,3,27,18,0,0,-1,340,600,19575.0,33,10.0,18.181818181818183,30.19999999999999,75.40000000000003,30.19999999999999,75.40000000000003,906,828,7.0,899.0,821.0,78
559,2017-07-27,1.0,932,915,600,22373.88888888889,59,0,8,3,27,0,8,-1,1,500,470,22104.444444444445,59,8.474576271186441,7.966101694915254,22.399999999999977,34.19999999999999,34.19999999999999,22.399999999999977,915,932,9.0,906.0,923.0,-17
560,2017-07-28,1.0,906,923,600,9946.944444444445,15,0,7,4,28,0,10,-1,1,140,150,9866.38888888889,15,9.333333333333334,10.0,34.5,34.5,34.5,34.5,923,906,8.0,915.0,898.0,17
561,2017-07-28,1.0,931,925,600,10254.166666666666,39,1,8,4,28,19,0,1,-1,410,600,9973.611111111111,38,10.512820512820513,15.789473684210526,51.5,60.099999999999966,51.5,60.099999999999966,931,925,8.0,923.0,917.0,6
562,2017-07-28,0.0,915,922,600,15630.0,47,0,6,4,28,8,0,1,-1,600,430,15343.888888888889,48,12.76595744680851,8.958333333333334,55.0,36.69999999999999,36.69999999999999,55.0,922,915,-9.0,931.0,924.0,7
563,2017-07-28,0.5,995,924,600,19671.666666666668,67,0,5,4,28,0,12,-1,1,600,590,19341.111111111113,68,8.955223880597014,8.676470588235293,40.89999999999998,79.89999999999998,79.89999999999998,40.89999999999998,924,995,2.0,922.0,993.0,-71
