,date,day,weekday,start_time,game_time,color,elo,opp_elo,diff,result,won_by,num_moves,opp_num_moves,avg_time,opp_avg_time,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,max_move,opp_max_move
1525,2018-05-20,20,6,17251.11111111111,300,0,886.0,1569.0,-683,0.0,8,49,50,2.857142857142857,2.6,0,4,-1,1,140,130,16.0,10.199999999999989
1526,2018-05-20,20,6,22086.11111111111,600,1,886.0,849.0,37,1.0,6,21,20,13.333333333333334,30.0,8,0,1,-1,280,600,56.30000000000001,86.5
1527,2018-05-20,20,6,22342.222222222223,600,1,893.0,791.0,102,1.0,8,46,45,11.08695652173913,9.555555555555555,13,17,1,1,510,430,102.60000000000002,49.900000000000034
1528,2018-05-21,21,0,7639.444444444444,600,0,899.0,835.0,64,1.0,8,17,17,7.0588235294117645,7.0588235294117645,0,0,-1,-1,120,120,21.30000000000001,39.19999999999993
1529,2018-05-21,21,0,7722.777777777777,600,1,906.0,873.0,33,1.0,7,41,41,9.75609756097561,14.390243902439025,12,0,1,-1,400,590,33.5,55.19999999999999
1530,2018-05-21,21,0,8778.611111111111,180,1,914.0,922.0,-8,0.0,6,51,51,3.5294117647058822,2.9411764705882355,8,7,0,1,180,150,13.900000000000006,11.700000000000017
1531,2018-05-21,21,0,11192.5,600,1,906.0,829.0,77,1.0,2,40,39,6.0,6.923076923076923,8,11,1,1,240,270,22.399999999999977,38.69999999999999
1532,2018-05-21,21,0,14496.38888888889,600,0,913.0,933.0,-20,0.0,8,23,24,7.826086956521739,4.583333333333333,10,10,0,1,180,110,33.5,17.600000000000023
1533,2018-05-21,21,0,14588.611111111111,600,0,905.0,928.0,-23,0.0,6,65,66,9.23076923076923,8.030303030303031,12,13,0,1,600,530,46.400000000000034,50.400000000000034
1534,2018-05-21,21,0,16615.833333333332,180,0,897.0,1069.0,-172,0.0,6,42,43,4.285714285714286,3.7209302325581395,19,9,1,1,180,160,26.400000000000006,11.5
1535,2018-05-21,21,0,18921.666666666668,600,1,893.0,910.0,-17,0.0,8,50,50,9.2,7.4,19,8,1,1,460,370,41.80000000000001,46.5
1536,2018-05-21,21,0,22055.0,600,0,885.0,838.0,47,1.0,8,49,49,4.6938775510204085,9.183673469387756,8,0,0,-1,230,450,28.300000000000068,47.0
1537,2018-05-22,22,1,8175.277777777778,600,0,892.0,848.0,44,1.0,8,73,73,6.027397260273973,7.123287671232877,15,16,1,0,440,520,72.40000000000003,70.79999999999995
1538,2018-05-22,22,1,9366.944444444445,600,1,899.0,950.0,-51,0.0,8,62,62,7.580645161290323,7.903225806451613,18,0,0,-1,470,490,30.0,34.900000000000034
1539,2018-05-22,22,1,14119.722222222223,600,1,892.0,863.0,29,1.0,7,15,14,6.666666666666667,9.285714285714286,10,0,0,-1,100,130,35.599999999999966,21.299999999999955
1540,2018-05-22,22,1,14200.0,600,0,900.0,869.0,31,1.0,6,83,83,6.265060240963855,7.228915662650603,0,18,-1,1,520,600,39.099999999999966,40.299999999999955
1541,2018-05-22,22,1,16211.388888888887,600,1,908.0,896.0,12,0.0,8,61,61,9.672131147540984,6.39344262295082,10,10,0,1,590,390,42.0,29.899999999999977
1542,2018-05-22,22,1,19228.61111111111,180,0,899.0,1380.0,-481,0.0,8,46,47,4.565217391304348,2.5531914893617023,7,6,0,1,210,120,10.199999999999989,8.199999999999989
1543,2018-05-22,22,1,19328.61111111111,180,0,898.0,1459.0,-561,0.0,8,21,22,7.142857142857143,5.0,12,18,1,0,150,110,15.799999999999983,13.799999999999983
1544,2018-05-22,22,1,19352.777777777777,180,1,897.0,1781.0,-884,0.0,8,35,35,6.857142857142857,8.857142857142858,8,9,1,1,240,310,23.799999999999997,25.80000000000001
1545,2018-05-22,22,1,19511.38888888889,180,0,897.0,1037.0,-140,0.0,8,34,35,6.764705882352941,4.571428571428571,12,24,0,0,230,160,24.30000000000001,22.30000000000001
1546,2018-05-23,23,2,7835.833333333333,600,1,892.0,954.0,-62,0.0,6,43,43,13.953488372093023,10.465116279069768,15,11,1,1,600,450,76.59999999999997,37.10000000000002
